15:50:42 [INFO] 	🚀 Запуск теста "test_prod_act_1"
15:52:34 [INFO] 	Браузер chrome закрыт.
15:52:34 [INFO] 	✅ Тест "test_admin_3" завершился успехом
15:52:34 [INFO] 	⌛ Продолжительность теста: 17.54 секунд
=================================== PASSED ===================================

15:52:34 [INFO] 	🚀 Запуск теста "test_admin_4"
15:52:44 [INFO] 	Браузер chrome открыт.
15:52:45 [INFO] 	Вход в роли администратора
15:52:45 [INFO] 	Нажать на кнопку 'Меню'.
15:52:46 [INFO] 	Найти и нажать на пункт 'Редактировать товары'.
15:52:46 [INFO] 	Найти добавленный товар и нажать на кнопку редактирования (иконка карандаша).
15:52:47 [INFO] 	Очистить поле 'Описание' и оставить незаполненным.
15:52:47 [INFO] 	Убедиться, что кнопка 'Обновить товар' не активна.
15:52:47 [INFO] 	Кнопка 'Обновить товар' не активна.
15:52:49 [INFO] 	Браузер chrome закрыт.
15:52:49 [INFO] 	✅ Тест "test_admin_4" завершился успехом
15:52:49 [INFO] 	⌛ Продолжительность теста: 15.76 секунд
=================================== PASSED ===================================

15:52:49 [INFO] 	🚀 Запуск теста "test_admin_5"
15:53:01 [INFO] 	Браузер chrome открыт.
15:53:01 [INFO] 	Вход в роли администратора
15:53:01 [INFO] 	Нажать на кнопку 'Меню'.
15:53:02 [INFO] 	Найти и нажать на пункт 'Редактировать товары'.
15:53:02 [INFO] 	Найти добавленный ранее товар и нажать на кнопку удаления (иконка корзины).
15:53:03 [INFO] 	Во вкладке 'Меню' найти и нажать на пункт 'Магазин'.
15:53:03 [INFO] 	Убедиться, что удаленный товар больше не присутствует в списке продуктов.
15:53:04 [INFO] 	Тестовый продукт отсутствует в списке продуктов.
15:53:06 [INFO] 	Браузер chrome закрыт.
15:53:06 [INFO] 	✅ Тест "test_admin_5" завершился успехом
15:53:06 [INFO] 	⌛ Продолжительность теста: 16.62 секунд
=================================== PASSED ===================================

15:53:06 [INFO] 	🚀 Запуск теста "test_autf_1"
15:53:17 [INFO] 	Браузер chrome открыт.
15:53:17 [INFO] 	Вход в роли пользователя
15:53:17 [INFO] 	Открыть страницу авторизации (http://91.197.96.80).
15:53:17 [INFO] 	Ввести корректные логин и пароль покупателя.
15:53:17 [INFO] 	Нажать на кнопку 'Войти'.
15:53:17 [INFO] 	Убедиться в успешной авторизации (Найти надпись 'Продукты')
15:53:18 [INFO] 	Выполнен переход на страницу 'Продукты'.
15:53:20 [INFO] 	Браузер chrome закрыт.
15:53:20 [INFO] 	✅ Тест "test_autf_1" завершился успехом
15:53:20 [INFO] 	⌛ Продолжительность теста: 14.33 секунд
=================================== PASSED ===================================

15:53:20 [INFO] 	🚀 Запуск теста "test_autf_2"
15:53:31 [INFO] 	Браузер chrome открыт.
15:53:31 [INFO] 	Вход в роли администратора
15:53:31 [INFO] 	Открыть страницу авторизации (http://91.197.96.80).
15:53:31 [INFO] 	Ввести корректные логин и пароль администратора.
15:53:31 [INFO] 	Нажать на кнопку 'Войти'.
15:53:31 [INFO] 	Убедиться в успешной авторизации (Найти надпись 'Продукты')
15:53:33 [INFO] 	Убедиться, что авторизовались в роли администратора (Во вкладке 'Меню' найти пункт 'Редактировать товары').
15:53:33 [INFO] 	В меню имеется пункт 'Редактировать товары'.
15:53:35 [INFO] 	Браузер chrome закрыт.
15:53:35 [INFO] 	✅ Тест "test_autf_2" завершился успехом
15:53:35 [INFO] 	⌛ Продолжительность теста: 14.81 секунд
=================================== PASSED ===================================

15:53:35 [INFO] 	🚀 Запуск теста "test_autf_3"
15:53:46 [INFO] 	Браузер chrome открыт.
15:53:46 [INFO] 	Вход не выполнен
15:53:46 [INFO] 	Открыть страницу авторизации (http://91.197.96.80).
15:53:46 [INFO] 	Оставить поля для ввода логина и пароля пустыми.
15:53:46 [INFO] 	Нажать на кнопку 'Войти'.
15:53:46 [INFO] 	Убедиться, что все еще находимся на странице авторизации.
15:53:46 [INFO] 	Все еще находимся на странице авторизации.
15:53:48 [INFO] 	Браузер chrome закрыт.
15:53:48 [INFO] 	✅ Тест "test_autf_3" завершился успехом
15:53:48 [INFO] 	⌛ Продолжительность теста: 13.02 секунд
=================================== PASSED ===================================

15:53:48 [INFO] 	🚀 Запуск теста "test_filter_1"
15:53:59 [INFO] 	Браузер chrome открыт.
15:53:59 [INFO] 	Вход в роли пользователя
15:53:59 [INFO] 	На странице с продуктами найти и нажать выпадающий список.
15:53:59 [INFO] 	В выпадающем списке выбрать значение: 'Цена: Сначала подешевле'.
15:54:01 [INFO] 	Убедиться, что ассортимент товара отсортирован верно.
15:54:01 [INFO] 	Товар отображается по цене от меньшей к большей.
15:54:03 [INFO] 	Браузер chrome закрыт.
15:54:03 [INFO] 	✅ Тест "test_filter_1" завершился успехом
15:54:03 [INFO] 	⌛ Продолжительность теста: 14.94 секунд
=================================== PASSED ===================================

15:54:03 [INFO] 	🚀 Запуск теста "test_filter_2"
15:54:14 [INFO] 	Браузер chrome открыт.
15:54:14 [INFO] 	Вход в роли пользователя
15:54:14 [INFO] 	На странице с продуктами найти и нажать выпадающий список.
15:54:14 [INFO] 	В выпадающем списке выбрать значение: 'Цена: Сначала подороже'.
15:54:15 [INFO] 	Убедиться, что ассортимент товара отсортирован верно.
15:54:16 [INFO] 	Товар отображается по цене от большей к меньшей.
15:54:18 [INFO] 	Браузер chrome закрыт.
15:54:18 [INFO] 	✅ Тест "test_filter_2" завершился успехом
15:54:18 [INFO] 	⌛ Продолжительность теста: 14.41 секунд
=================================== PASSED ===================================

15:54:18 [INFO] 	🚀 Запуск теста "test_filter_3"
15:54:29 [INFO] 	Браузер chrome открыт.
15:54:29 [INFO] 	Вход в роли пользователя
15:54:29 [INFO] 	На странице с продуктами найти и нажать выпадающий список.
15:54:29 [INFO] 	В выпадающем списке выбрать значение: 'Наименование: от А до Я'.
15:54:30 [INFO] 	Убедиться, что ассортимент товара отсортирован верно.
15:54:30 [INFO] 	Товар отображается в алфавитном порядке.
15:54:32 [INFO] 	Браузер chrome закрыт.
15:54:32 [INFO] 	✅ Тест "test_filter_3" завершился успехом
15:54:32 [INFO] 	⌛ Продолжительность теста: 14.30 секунд
=================================== PASSED ===================================

15:54:32 [INFO] 	🚀 Запуск теста "test_filter_4"
15:54:43 [INFO] 	Браузер chrome открыт.
15:54:43 [INFO] 	Вход в роли пользователя
15:54:43 [INFO] 	На странице с продуктами найти и нажать выпадающий список.
15:54:43 [INFO] 	В выпадающем списке выбрать значение: 'Наименование: от Я до А'.
15:54:44 [INFO] 	Убедиться, что ассортимент товара отсортирован верно.
15:54:44 [INFO] 	Товар отображается по алфавиту в обратном порядке.
15:54:47 [INFO] 	Браузер chrome закрыт.
15:54:47 [INFO] 	✅ Тест "test_filter_4" завершился успехом
15:54:47 [INFO] 	⌛ Продолжительность теста: 14.57 секунд
=================================== PASSED ===================================

15:54:47 [INFO] 	🚀 Запуск теста "test_filter_5"
15:54:58 [INFO] 	Браузер chrome открыт.
15:54:58 [INFO] 	Вход в роли пользователя
15:54:58 [INFO] 	На странице с продуктами найти и нажать кнопку фильтра (иконка с ползунками).
15:54:58 [INFO] 	В блоке 'Категории' оставить активным чек-бокс 'Бургер'.
15:55:00 [INFO] 	Убедиться, что товар соответствует выбранной категории.
15:55:00 [ERROR] 	⚠️ AssertionError: Ошибка: Продукт: 'Пирожок с курицей' - не соответствует категории 'Бургер'!
15:55:02 [INFO] 	Браузер chrome закрыт.
15:55:02 [ERROR] 	❌ Тест "test_filter_5" завершился неудачно
15:55:02 [INFO] 	⌛ Продолжительность теста: 15.85 секунд
=================================== FAILED ===================================

15:55:02 [INFO] 	🚀 Запуск теста "test_filter_6"
15:55:09 [INFO] 	Браузер chrome открыт.
15:55:10 [INFO] 	Вход в роли пользователя
15:55:10 [INFO] 	На странице с продуктами найти и нажать кнопку фильтра (иконка с ползунками).
15:55:10 [INFO] 	В блоке 'Категории' оставить активным чек-бокс 'Сэндвич'.
15:55:11 [INFO] 	Убедиться, что товар соответствует выбранной категории.
15:55:11 [ERROR] 	⚠️ AssertionError: Ошибка: Продукт: 'Ролл с курицей' - не соответствует категории 'Сэндвич'!
15:55:13 [INFO] 	Браузер chrome закрыт.
15:55:13 [ERROR] 	❌ Тест "test_filter_6" завершился неудачно
15:55:13 [INFO] 	⌛ Продолжительность теста: 10.58 секунд
=================================== FAILED ===================================

15:55:13 [INFO] 	🚀 Запуск теста "test_filter_7"
15:55:24 [INFO] 	Браузер chrome открыт.
15:55:24 [INFO] 	Вход в роли пользователя
15:55:24 [INFO] 	На странице с продуктами найти и нажать кнопку фильтра (иконка с ползунками).
15:55:24 [INFO] 	В блоке 'Категории' не активен ни один чек-бокс.
15:55:26 [INFO] 	Убедиться, что товар отсутствует.
15:55:26 [INFO] 	Ни один товар не отображается.
15:55:28 [INFO] 	Браузер chrome закрыт.
15:55:28 [INFO] 	✅ Тест "test_filter_7" завершился успехом
15:55:28 [INFO] 	⌛ Продолжительность теста: 14.71 секунд
=================================== PASSED ===================================

15:55:28 [INFO] 	🚀 Запуск теста "test_filter_8"
15:55:39 [INFO] 	Браузер chrome открыт.
15:55:39 [INFO] 	Вход в роли пользователя
15:55:39 [INFO] 	На странице с продуктами найти и нажать кнопку фильтра (иконка с ползунками).
15:55:39 [INFO] 	В блоке 'Цена' ввести данные: в поле 'от' - 100, в поле 'до' - 150.
15:55:40 [INFO] 	Убедиться, что товар соответствует введенному ценовому диапазону.
15:55:40 [ERROR] 	⚠️ AssertionError: Ошибка: Цена 199 вне диапазона: от 100 до 150!
15:55:42 [INFO] 	Браузер chrome закрыт.
15:55:42 [ERROR] 	❌ Тест "test_filter_8" завершился неудачно
15:55:42 [INFO] 	⌛ Продолжительность теста: 14.42 секунд
=================================== FAILED ===================================

15:55:42 [INFO] 	🚀 Запуск теста "test_max_1"
15:55:49 [INFO] 	Браузер chrome открыт.
15:55:49 [INFO] 	Вход в роли пользователя
15:55:49 [INFO] 	Добавить в корзину один продукт в количестве 105 шт.
15:56:15 [INFO] 	Перейти на страницу 'Корзинка' (нажать на иконку корзины).
15:56:15 [INFO] 	Убедиться, что товара добавлено только 100 шт.
15:56:18 [ERROR] 	⚠️ AssertionError: Ошибка: Добавлено 105 шт. продукта! Максимум 100.
15:56:20 [INFO] 	Браузер chrome закрыт.
15:56:20 [ERROR] 	❌ Тест "test_max_1" завершился неудачно
15:56:20 [INFO] 	⌛ Продолжительность теста: 37.53 секунд
=================================== FAILED ===================================

15:56:20 [INFO] 	🚀 Запуск теста "test_max_2"
15:56:27 [INFO] 	Браузер chrome открыт.
15:56:27 [INFO] 	Вход в роли пользователя
15:56:27 [INFO] 	Добавить в корзину один продукт на сумму более 100000 ₽ (505 шт. при цене 199 р.).
15:57:51 [INFO] 	Перейти на страницу 'Корзинка' (нажать на иконку корзины).
15:57:51 [INFO] 	Убедиться, что общая сумма заказа не более 100000 ₽.
15:57:52 [ERROR] 	⚠️ AssertionError: Ошибка: Общая сумма заказа 100495 ₽! Максимум 100000₽.
15:57:54 [INFO] 	Браузер chrome закрыт.
15:57:54 [ERROR] 	❌ Тест "test_max_2" завершился неудачно
15:57:54 [INFO] 	⌛ Продолжительность теста: 94.15 секунд
=================================== FAILED ===================================

15:57:54 [INFO] 	🚀 Запуск теста "test_menu_1"
15:58:01 [INFO] 	Браузер chrome открыт.
15:58:01 [INFO] 	Вход в роли пользователя
15:58:01 [INFO] 	Нажать на кнопку 'Меню'.
15:58:02 [INFO] 	Убедиться в наличии пунктов: 'Магазин', 'Корзинка', 'Выход'.
15:58:03 [INFO] 	Пункты: 'Магазин', 'Корзинка', 'Выход' присутствуют в меню.
15:58:05 [INFO] 	Браузер chrome закрыт.
15:58:05 [INFO] 	✅ Тест "test_menu_1" завершился успехом
15:58:05 [INFO] 	⌛ Продолжительность теста: 11.16 секунд
=================================== PASSED ===================================

15:58:05 [INFO] 	🚀 Запуск теста "test_menu_2"
15:58:29 [INFO] 	Браузер chrome открыт.
15:58:29 [INFO] 	Вход в роли пользователя
15:58:29 [INFO] 	Нажать на кнопку 'Меню'.
15:58:30 [INFO] 	Во вкладке 'Меню' найти и нажать на пункт 'Магазин'.
15:58:30 [INFO] 	Убедиться, что находимся на странице 'Продукты'.
15:58:30 [INFO] 	Выполнен корректный переход на страницу 'Продукты'.
15:58:32 [INFO] 	Браузер chrome закрыт.
15:58:32 [INFO] 	✅ Тест "test_menu_2" завершился успехом
15:58:32 [INFO] 	⌛ Продолжительность теста: 27.50 секунд
=================================== PASSED ===================================

15:58:32 [INFO] 	🚀 Запуск теста "test_menu_3"
15:58:44 [INFO] 	Браузер chrome открыт.
15:58:44 [INFO] 	Вход в роли пользователя
15:58:44 [INFO] 	Нажать на кнопку 'Меню'.
15:58:45 [INFO] 	Во вкладке 'Меню' найти и нажать на пункт 'Корзинка'.
15:58:46 [INFO] 	Убедиться, что находимся на странице 'Корзинка'.
15:58:46 [INFO] 	Выполнен корректный переход на страницу 'Корзинка'.
15:58:48 [INFO] 	Браузер chrome закрыт.
15:58:48 [INFO] 	✅ Тест "test_menu_3" завершился успехом
15:58:48 [INFO] 	⌛ Продолжительность теста: 15.22 секунд
=================================== PASSED ===================================

15:58:48 [INFO] 	🚀 Запуск теста "test_menu_4"
15:58:59 [INFO] 	Браузер chrome открыт.
15:58:59 [INFO] 	Вход в роли пользователя
15:58:59 [INFO] 	Нажать на кнопку 'Меню'.
15:59:00 [INFO] 	Во вкладке 'Меню' найти и нажать на кнопку 'Выход'.
15:59:01 [INFO] 	Убедиться, что находимся на странице авторизации.
15:59:01 [INFO] 	Завершение сессии пользователя, переход на страницу авторизации.
15:59:03 [INFO] 	Браузер chrome закрыт.
15:59:03 [INFO] 	✅ Тест "test_menu_4" завершился успехом
15:59:03 [INFO] 	⌛ Продолжительность теста: 15.08 секунд
=================================== PASSED ===================================

15:59:03 [INFO] 	🚀 Запуск теста "test_order_1"
15:59:14 [INFO] 	Браузер chrome открыт.
15:59:14 [INFO] 	Вход в роли пользователя
16:00:58 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:00:58 [INFO] 	Переход в корзину
16:00:58 [INFO] 	Зафиксировать итоговую сумму.
16:00:58 [INFO] 	Нажать кнопку 'Оформить заказ'.
16:00:59 [INFO] 	Заполнение полей корректными данными.
16:00:59 [INFO] 	Нажать кнопку 'Оформить заказ'.
16:00:59 [INFO] 	Сравнить ранее зафиксированные данные с данными на странице 'Оформление заказа: Подтверждение заказа'.
16:00:59 [ERROR] 	⚠️ AssertionError: Ошибка: В поле 'Адрес доставки' значение: 'Гедеон'. Ожидаемое: 'пр. Волочаевский, д. 941 стр. 362'
16:01:02 [INFO] 	Браузер chrome закрыт.
16:01:02 [ERROR] 	❌ Тест "test_order_1" завершился неудачно
16:01:02 [INFO] 	⌛ Продолжительность теста: 118.79 секунд
=================================== FAILED ===================================

16:01:02 [INFO] 	🚀 Запуск теста "test_order_2"
16:01:09 [INFO] 	Браузер chrome открыт.
16:01:09 [INFO] 	Вход в роли пользователя
16:01:09 [INFO] 	Убедиться, что находимся на странице 'Продукты'.
16:01:10 [INFO] 	Выполнен переход на страницу 'Продукты'.
16:01:10 [INFO] 	Добавить один продукт в количестве 2 шт.
16:01:12 [INFO] 	Перейти на страницу 'Корзинка' (нажать на иконку корзины).
16:01:12 [INFO] 	Убедиться, что находимся на странице 'Корзинка'.
16:01:12 [INFO] 	Выполнен переход на страницу 'Корзинка'.
16:01:12 [INFO] 	Нажать кнопку 'Оформить заказ'.
16:01:12 [INFO] 	Убедиться, что находимся на странице 'Оформление заказа: Данные пользователя'.
16:01:12 [INFO] 	Корректный переход на страницу для заполнения данных о пользователе.
16:01:12 [INFO] 	Заполнение полей корректными данными.
16:01:13 [INFO] 	Нажать кнопку 'Оформить заказ'.
16:01:13 [INFO] 	Убедиться, что находимся на странице 'Оформление заказа: Подтверждение заказа'.
16:01:13 [INFO] 	Корректный переход на страницу для подтверждения заказа.
16:01:13 [INFO] 	На странице 'Оформление заказа: Подтверждение заказа' нажать на кнопку 'Завершить заказ'.
16:01:13 [INFO] 	Убедиться в наличии сообщения 'Ваш заказ успешно создан'.
16:01:13 [INFO] 	Успешное оформление заказа.
16:01:16 [INFO] 	Браузер chrome закрыт.
16:01:16 [INFO] 	✅ Тест "test_order_2" завершился успехом
16:01:16 [INFO] 	⌛ Продолжительность теста: 14.04 секунд
=================================== PASSED ===================================

16:01:16 [INFO] 	🚀 Запуск теста "test_cart_1"
16:01:31 [INFO] 	Браузер chrome открыт.
16:01:31 [INFO] 	Вход в роли пользователя
16:01:31 [INFO] 	На странице с продуктами найти и нажать на иконку корзины.
16:01:32 [INFO] 	Убедиться, что находимся на странице 'Корзинка'.
16:01:32 [INFO] 	Выполнен переход на страницу 'Корзинка'.
16:01:34 [INFO] 	Браузер chrome закрыт.
16:01:34 [INFO] 	✅ Тест "test_cart_1" завершился успехом
16:01:34 [INFO] 	⌛ Продолжительность теста: 18.51 секунд
=================================== PASSED ===================================

16:01:34 [INFO] 	🚀 Запуск теста "test_cart_2"
16:01:45 [INFO] 	Браузер chrome открыт.
16:01:45 [INFO] 	Вход в роли пользователя
16:01:47 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:01:48 [INFO] 	Переход в корзину
16:01:48 [INFO] 	Удалить товар из корзины - нажать на кнопку '-' 2 раза.
16:01:48 [INFO] 	Убедиться, что корзина очищена, на странице отображается сообщение: 'в корзине пока пусто'.
16:01:49 [INFO] 	Отображается сообщение: 'в корзине пока пусто'.
16:01:51 [INFO] 	Браузер chrome закрыт.
16:01:51 [INFO] 	✅ Тест "test_cart_2" завершился успехом
16:01:51 [INFO] 	⌛ Продолжительность теста: 16.75 секунд
=================================== PASSED ===================================

16:01:51 [INFO] 	🚀 Запуск теста "test_cart_3"
16:02:02 [INFO] 	Браузер chrome открыт.
16:02:02 [INFO] 	Вход в роли пользователя
16:02:09 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:02:09 [INFO] 	Переход в корзину
16:02:09 [INFO] 	Убедиться, что кнопка 'Оформить заказ' доступна.
16:02:09 [INFO] 	Кнопка 'Оформить заказ' доступна.
16:02:12 [INFO] 	Браузер chrome закрыт.
16:02:12 [INFO] 	✅ Тест "test_cart_3" завершился успехом
16:02:12 [INFO] 	⌛ Продолжительность теста: 20.70 секунд
=================================== PASSED ===================================

16:02:12 [INFO] 	🚀 Запуск теста "test_cart_4"
16:02:23 [INFO] 	Браузер chrome открыт.
16:02:23 [INFO] 	Вход в роли пользователя
16:02:25 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:02:25 [INFO] 	Переход в корзину
16:02:25 [INFO] 	Убедиться, что у выбранного продукта в окне между '-' и '+' отображается количество товара, равное 2.
16:02:27 [INFO] 	Количество добавленных продуктов в корзине отображается корректно.
16:02:29 [INFO] 	Браузер chrome закрыт.
16:02:29 [INFO] 	✅ Тест "test_cart_4" завершился успехом
16:02:29 [INFO] 	⌛ Продолжительность теста: 17.39 секунд
=================================== PASSED ===================================

16:02:29 [INFO] 	🚀 Запуск теста "test_cart_5"
16:02:40 [INFO] 	Браузер chrome открыт.
16:02:40 [INFO] 	Вход в роли пользователя
16:02:42 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:02:42 [INFO] 	Переход в корзину
16:02:42 [INFO] 	Найти на странице строку с итоговой суммой ('Итого:' и конечная стоимость).
16:02:45 [INFO] 	Убедиться, что сумма 2 товаров совпадает с конечной стоимостью.
16:02:45 [INFO] 	Итоговая сумма отображается корректно.
16:02:47 [INFO] 	Браузер chrome закрыт.
16:02:47 [INFO] 	✅ Тест "test_cart_5" завершился успехом
16:02:47 [INFO] 	⌛ Продолжительность теста: 17.97 секунд
=================================== PASSED ===================================

16:02:47 [INFO] 	🚀 Запуск теста "test_cart_6"
16:02:58 [INFO] 	Браузер chrome открыт.
16:02:58 [INFO] 	Вход в роли пользователя
16:03:00 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:03:00 [INFO] 	Переход в корзину
16:03:00 [INFO] 	Нажать на кнопку 'Оформить заказ'.
16:03:01 [INFO] 	Убедиться, что находимся на странице 'Оформление заказа: Данные пользователя'.
16:03:01 [INFO] 	Корректный переход на страницу для заполнения данных о пользователе.
16:03:03 [INFO] 	Браузер chrome закрыт.
16:03:03 [INFO] 	✅ Тест "test_cart_6" завершился успехом
16:03:03 [INFO] 	⌛ Продолжительность теста: 15.74 секунд
=================================== PASSED ===================================

16:03:03 [INFO] 	🚀 Запуск теста "test_us_data_1"
16:03:14 [INFO] 	Браузер chrome открыт.
16:03:14 [INFO] 	Вход в роли пользователя
16:03:16 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:03:16 [INFO] 	Переход в корзину
16:03:17 [INFO] 	Переход на страницу 'Оформление заказа: Данные пользователя'
16:03:17 [INFO] 	Нажать на кнопку 'Обратно в магазин'.
16:03:17 [INFO] 	Убедиться, что находимся на странице 'Продукты'.
16:03:17 [INFO] 	Выполнен корректный переход на страницу 'Продукты'.
16:03:19 [INFO] 	Браузер chrome закрыт.
16:03:19 [INFO] 	✅ Тест "test_us_data_1" завершился успехом
16:03:19 [INFO] 	⌛ Продолжительность теста: 16.37 секунд
=================================== PASSED ===================================

16:03:19 [INFO] 	🚀 Запуск теста "test_us_data_2"
16:03:30 [INFO] 	Браузер chrome открыт.
16:03:30 [INFO] 	Вход в роли пользователя
16:03:32 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:03:32 [INFO] 	Переход в корзину
16:03:33 [INFO] 	Переход на страницу 'Оформление заказа: Данные пользователя'
16:03:33 [INFO] 	Заполнить поля: 'Имя', 'Фамилия', 'Отчество', 'Адрес доставки', 'Номер карты' корректными данными.
16:03:33 [INFO] 	Нажать кнопку 'Оформить заказ'.
16:03:33 [INFO] 	Убедиться, что находимся на странице 'Оформление заказа: Подтверждение заказа'.
16:03:33 [INFO] 	Корректный переход на страницу для подтверждения заказа.
16:03:36 [INFO] 	Браузер chrome закрыт.
16:03:36 [INFO] 	✅ Тест "test_us_data_2" завершился успехом
16:03:36 [INFO] 	⌛ Продолжительность теста: 16.41 секунд
=================================== PASSED ===================================

16:03:36 [INFO] 	🚀 Запуск теста "test_us_data_3"
16:03:47 [INFO] 	Браузер chrome открыт.
16:03:47 [INFO] 	Вход в роли пользователя
16:03:49 [INFO] 	Добавлено 2 продукта Бургер с курицей
16:03:49 [INFO] 	Переход в корзину
16:03:49 [INFO] 	Переход на страницу 'Оформление заказа: Данные пользователя'
16:03:49 [INFO] 	Оставить все поля для заполнения пустыми.
16:03:49 [INFO] 	Нажать кнопку 'Оформить заказ'.
16:03:50 [INFO] 	Убедиться в наличии сообщения об ошибке.
16:03:50 [INFO] 	Присутствует сообщение об ошибке, так как поля для заполнения оставлены пустыми.
16:03:52 [INFO] 	Браузер chrome закрыт.
16:03:52 [INFO] 	✅ Тест "test_us_data_3" завершился успехом
16:03:52 [INFO] 	⌛ Продолжительность теста: 16.39 секунд
=================================== PASSED ===================================

16:03:52 [INFO] 	🚀 Запуск теста "test_us_data_4"
16:04:03 [INFO] 	Браузер chrome открыт.
16:04:03 [INFO] 	Вход в роли пользователя
